"Hostname";"MAC"
KLDPC004.klinikum.lippe.intra;54:A0:50:51:9B:06
KLDPC102.klinikum.lippe.intra;04:D4:C4:EF:72:BE
KLDPC1022.klinikum.lippe.intra;D4:5D:64:B3:66:B3
KLDPC212.klinikum.lippe.intra;38:D5:47:AF:15:93
KLDPC224.klinikum.lippe.intra;2C:FD:A1:72:12:38
KLDPC237.klinikum.lippe.intra;2C:FD:A1:72:14:FD
KLDPC280.klinikum.lippe.intra;2C:FD:A1:72:13:E3
KLDPC375.klinikum.lippe.intra;2C:FD:A1:72:12:9E
KLDPC380.klinikum.lippe.intra;38:D5:47:AF:16:18
KLLPC103.klinikum.lippe.intra;74:d0:2b:c8:03:ae
KLLPC158.klinikum.lippe.intra;ac:9e:17:4c:61:c2
KLLPC184.klinikum.lippe.intra;AC:9E:17:4A:C0:63
KLLPC785.klinikum.lippe.intra;e0:3f:49:78:9e:72
KLLPC961.klinikum.lippe.intra;2c:fd:a1:72:13:bd
KLSPC022.klinikum.lippe.intra;54:A0:50:51:99:63
KLSPC025.klinikum.lippe.intra;54:A0:50:51:8B:89
KLSPC150.klinikum.lippe.intra;04:D4:C4:EF:7A:97
KLSPC156.klinikum.lippe.intra;D4:5D:64:20:38:18
